term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
produkt,6,0.0037,0.0008,0.0006,0.0027,0.0028,0.0019,0.0001,0.0007,0.0011,0.0002,0.0063,0.0015,0.0002,0.032,0.0013
republik,6,0.0039,0.0008,0.0011,0.0026,0.0027,0.0019,0.0001,0.0007,0.0011,0.0002,0.0009,0.0015,0.0073,0.001,0.0013
richten,6,0.0036,0.0008,0.0243,0.0027,0.0027,0.0019,0.0001,0.0007,0.001,0.0002,0.0009,0.0015,0.0002,0.001,0.0014
rolle,6,0.0037,0.0008,0.0006,0.0027,0.0027,0.0019,0.0047,0.0007,0.0011,0.0178,0.0008,0.0197,0.0002,0.0012,0.0013
rom,6,0.0037,0.0008,0.0007,0.0026,0.0026,0.0019,0.0001,0.0007,0.001,0.0239,0.0008,0.0014,0.003,0.001,0.0012
sinto,6,0.0036,0.0008,0.0007,0.0025,0.0027,0.0019,0.0001,0.0007,0.0011,0.0239,0.0009,0.0015,0.003,0.001,0.0013
sjg,6,0.0038,0.0007,0.0243,0.0026,0.0026,0.0019,0.0001,0.0007,0.0011,0.0002,0.0009,0.0014,0.0002,0.001,0.0013
struktur,6,0.0037,0.0008,0.0006,0.0026,0.0026,0.014,0.0001,0.0007,0.001,0.0002,0.0118,0.0014,0.0002,0.001,0.0254
verbrechen,6,0.0039,0.0008,0.0006,0.0026,0.0026,0.0019,0.0001,0.0007,0.0011,0.0002,0.0009,0.0014,0.0075,0.001,0.0013
verfassung,6,0.0037,0.0008,0.0243,0.0026,0.0026,0.0019,0.0001,0.0007,0.001,0.0002,0.0009,0.0015,0.0002,0.001,0.0014
webquest,6,0.0037,0.0299,0.0006,0.0026,0.0026,0.002,0.0001,0.0007,0.001,0.0002,0.0009,0.0014,0.0002,0.001,0.0012
zukunft,6,0.027,0.0008,0.0007,0.0026,0.0027,0.0061,0.0019,0.0007,0.0011,0.0002,0.0009,0.0014,0.0002,0.001,0.0196
anregung,5,0.0037,0.0008,0.0006,0.0027,0.0027,0.014,0.0001,0.0007,0.0077,0.0002,0.0063,0.0197,0.0002,0.001,0.0013
antidemokratisch,5,0.0041,0.0008,0.0006,0.0026,0.0026,0.0019,0.0001,0.0007,0.001,0.0002,0.0009,0.0286,0.0026,0.001,0.0013
arbeitsteilig,5,0.0037,0.0251,0.0006,0.0026,0.0028,0.0019,0.0001,0.0007,0.0011,0.0002,0.0008,0.0015,0.0002,0.001,0.0014
bleiben,5,0.027,0.0008,0.0006,0.0026,0.0026,0.0019,0.0173,0.0007,0.001,0.0002,0.0008,0.0014,0.0002,0.001,0.0013
differenzierung,5,0.0037,0.025,0.0006,0.0026,0.0026,0.0019,0.0001,0.0007,0.001,0.0002,0.0009,0.0014,0.0002,0.001,0.0014
entwickeln,5,0.0036,0.0008,0.0006,0.0026,0.0027,0.0352,0.0018,0.0007,0.0011,0.0002,0.0008,0.0014,0.0002,0.001,0.0013
ergebnis,5,0.0037,0.0008,0.0006,0.0025,0.0027,0.014,0.0001,0.0007,0.0019,0.0002,0.0008,0.0014,0.0002,0.001,0.0324
fachbegriff,5,0.0037,0.0007,0.0006,0.0025,0.0027,0.0019,0.0322,0.0007,0.001,0.0002,0.0009,0.0015,0.0002,0.001,0.0012
fachintern,5,0.0271,0.0007,0.0006,0.0026,0.0027,0.0019,0.0173,0.0007,0.0011,0.0002,0.0009,0.0014,0.0002,0.001,0.0012
fakultativ,5,0.0037,0.0249,0.0006,0.0026,0.0026,0.0019,0.0001,0.0007,0.0011,0.0002,0.0009,0.0014,0.0002,0.001,0.0014
folter,5,0.0037,0.0008,0.0006,0.0027,0.0027,0.0019,0.0001,0.0007,0.0011,0.0002,0.0009,0.0014,0.0002,0.0321,0.0013
