term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
ökologisch,8,0.0009,0.0014,0.0018,0.0001,0.0014,0.0031,0.0001,0.0002,0.0017,0.0034,0.0001,0.0003,0.0006,0.0005,0.0004,0.0196,0.0001,0.0004,0.0016,0.0026
aussage,7,0.0009,0.0014,0.0017,0.0002,0.0013,0.0031,0.0002,0.0003,0.002,0.0034,0.0001,0.0003,0.0006,0.0004,0.0313,0.0002,0.0001,0.0004,0.0016,0.0027
diskurs,7,0.0009,0.0015,0.0017,0.0002,0.0014,0.0032,0.0014,0.0003,0.0017,0.0034,0.0001,0.0003,0.0006,0.0005,0.0004,0.0002,0.0154,0.0004,0.0016,0.0027
ermöglichen,7,0.0009,0.0014,0.0196,0.0002,0.0014,0.0032,0.0046,0.0002,0.0017,0.0034,0.0001,0.0003,0.0074,0.0056,0.0004,0.0002,0.0002,0.0004,0.019,0.0318
europäisch,7,0.0009,0.0014,0.0017,0.0002,0.0013,0.0032,0.0001,0.0002,0.0017,0.0033,0.0001,0.0003,0.0566,0.0005,0.0004,0.0003,0.0001,0.0004,0.0016,0.0027
globalisiert,7,0.0009,0.0014,0.0016,0.0208,0.0014,0.0033,0.0001,0.0002,0.0018,0.0034,0.0001,0.0003,0.0006,0.0005,0.0004,0.0003,0.0001,0.0004,0.0017,0.0027
rollenspiel,7,0.0451,0.0014,0.0017,0.0001,0.0013,0.0031,0.0001,0.0002,0.0018,0.0033,0.0001,0.0067,0.0168,0.0005,0.0004,0.0002,0.0001,0.0048,0.0016,0.0027
stehen,7,0.0009,0.0014,0.0016,0.0001,0.0014,0.0033,0.0033,0.0002,0.0985,0.0034,0.0001,0.0158,0.0006,0.0008,0.0004,0.0003,0.0001,0.0004,0.0016,0.0026
stärken,7,0.0009,0.0014,0.0016,0.0037,0.0015,0.0032,0.0001,0.0002,0.0017,0.0035,0.003,0.0003,0.0006,0.0327,0.0004,0.0003,0.0002,0.0004,0.0016,0.0027
text,7,0.0009,0.0014,0.0017,0.0001,0.0013,0.0032,0.0002,0.0003,0.002,0.0034,0.0001,0.0003,0.0006,0.0107,0.0182,0.0002,0.0001,0.0048,0.0016,0.0028
