term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
wirkung,14,0.0002,0.0004,0.0005,0.0001,0.0506,0.0001,0.0004,0.0007,0.0005,0.0003,0.0001,0.0004,0.0002,0.0001,0.0011
wunsch,14,0.0002,0.0004,0.0005,0.0001,0.0004,0.0466,0.0004,0.0009,0.0005,0.0001,0.0001,0.0004,0.0102,0.0001,0.0011
befangenheit,13,0.0002,0.0295,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0006,0.0003,0.0001,0.0004,0.009,0.0005,0.0011
biologisch,13,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0147,0.0005,0.0132,0.0001,0.0004,0.0026,0.0001,0.0012
identität,13,0.0002,0.0148,0.0005,0.0001,0.0004,0.0663,0.0004,0.0007,0.0005,0.0001,0.0001,0.0004,0.0002,0.0001,0.0011
information,13,0.0026,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0005,0.0031,0.0001,0.0004,0.019,0.0001,0.0011
kontext,13,0.0056,0.0163,0.0005,0.0001,0.0004,0.0001,0.0055,0.0007,0.0194,0.0002,0.0001,0.0004,0.0008,0.0002,0.0011
partner,13,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0006,0.0001,0.0001,0.0004,0.0002,0.0293,0.0012
phase,13,0.0002,0.0004,0.0108,0.0001,0.0004,0.0001,0.0004,0.0188,0.0125,0.0001,0.0037,0.0004,0.0002,0.0001,0.0011
psychologisch,13,0.0217,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0005,0.0001,0.0001,0.0004,0.0002,0.0001,0.0011
relevanz,13,0.0002,0.026,0.0005,0.0001,0.0004,0.0001,0.0006,0.0007,0.0296,0.0002,0.0001,0.0004,0.0002,0.0003,0.0011
versetzen,13,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0006,0.0001,0.0001,0.0004,0.0002,0.0293,0.0011
anzeige,12,0.0039,0.0004,0.0005,0.0001,0.0303,0.0001,0.0004,0.0007,0.0005,0.0002,0.0001,0.0004,0.0034,0.0001,0.0011
arbeitsprozesse,12,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0006,0.0001,0.0001,0.0004,0.0002,0.0281,0.0012
aussage,12,0.0078,0.0004,0.0218,0.0001,0.0004,0.0001,0.0108,0.0007,0.0005,0.0001,0.0001,0.0004,0.0002,0.0001,0.0011
begriff,12,0.0019,0.031,0.0005,0.0001,0.0004,0.0003,0.0004,0.0007,0.0006,0.0002,0.0001,0.0004,0.0044,0.0004,0.0011
betrachten,12,0.0094,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0005,0.0004,0.0008,0.0185,0.0002,0.0001,0.0011
