term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
wirkung,22,0.0,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0041,0.0176,0.0
prokaryot,22,0.0,0.0,0.0001,0.0176,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
arbeitsweise,21,0.0015,0.0,0.02,0.0001,0.0,0.0002,0.0001,0.0,0.0,0.0,0.0001,0.0
sehen,21,0.0,0.0,0.0001,0.0001,0.0,0.021,0.0049,0.0,0.0,0.0,0.0001,0.0
abbildung,20,0.0,0.0,0.0001,0.0001,0.0,0.0354,0.0,0.0,0.0,0.0,0.0001,0.0
verhaltensökologie,20,0.0006,0.0,0.0244,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
leitthema,20,0.0,0.0,0.0262,0.0008,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
entwicklungsbiologie,20,0.0,0.0,0.0277,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
fähig,20,0.0,0.0,0.0001,0.0001,0.0114,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
lebensform,19,0.0,0.0,0.0001,0.0118,0.0,0.0002,0.0001,0.0,0.0,0.0004,0.0032,0.0001
erfassen,19,0.0,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0091,0.0001,0.0
systematik,19,0.0004,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0089,0.0001,0.0
fachbegriff,18,0.0,0.0,0.0001,0.0001,0.0058,0.0002,0.0,0.0,0.0,0.0,0.014,0.0
selektionsvorteil,18,0.0,0.0,0.0001,0.0001,0.0002,0.0214,0.0,0.0,0.0021,0.0,0.0001,0.0
medizin,17,0.001,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0171,0.0
denk,17,0.0,0.0,0.023,0.0001,0.0001,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
evodevo,17,0.0,0.0,0.0235,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
vergangenheit,16,0.0,0.0,0.0001,0.0001,0.0,0.0143,0.0,0.0,0.0016,0.0,0.0001,0.0
religion,16,0.0,0.0,0.0001,0.0001,0.0,0.0002,0.0014,0.0,0.0004,0.0,0.0119,0.0
land,15,0.0,0.0,0.0221,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
begriff,15,0.0,0.0,0.0001,0.0001,0.0,0.0002,0.0003,0.0,0.0,0.0091,0.0001,0.0
