term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
hobbes,13,0.0001,0.0011,0.0016,0.0001,0.0001,0.0023,0.0001,0.0002,0.0008,0.0023,0.0001,0.0006,0.0004,0.0002,0.0004,0.0009,0.0171,0.0001,0.0127,0.0002
tier,13,0.0001,0.0011,0.0016,0.0001,0.0001,0.0023,0.0159,0.0001,0.0008,0.0023,0.0001,0.0006,0.0004,0.0002,0.0004,0.0009,0.0001,0.0001,0.0003,0.0002
zusammenhang,13,0.0001,0.0011,0.0016,0.0001,0.0001,0.0023,0.0001,0.0023,0.0231,0.0023,0.0001,0.0006,0.0004,0.0039,0.0004,0.0009,0.0001,0.0106,0.0003,0.0002
allgemein,12,0.0001,0.0011,0.0016,0.0001,0.0001,0.0025,0.0001,0.0279,0.0008,0.0023,0.0001,0.0006,0.0063,0.0002,0.0004,0.0009,0.0001,0.0001,0.0003,0.0002
anregung,12,0.0001,0.0011,0.0016,0.0001,0.0001,0.0024,0.0001,0.0001,0.0008,0.0024,0.0001,0.0006,0.0004,0.0002,0.0004,0.0009,0.0089,0.0001,0.0003,0.0185
argumentativ,12,0.0001,0.0011,0.0023,0.0001,0.0001,0.0023,0.0044,0.0027,0.0008,0.0023,0.0001,0.0006,0.0004,0.0002,0.0004,0.0009,0.0001,0.0001,0.0086,0.0069
einbeziehen,12,0.0001,0.0011,0.0016,0.0196,0.0001,0.0023,0.0001,0.0001,0.0008,0.0023,0.0001,0.0006,0.0004,0.0002,0.0004,0.0009,0.0001,0.0001,0.0003,0.0002
ermöglichen,12,0.0001,0.0011,0.0016,0.0001,0.0048,0.0023,0.0026,0.0014,0.0284,0.0023,0.0156,0.0006,0.0004,0.0002,0.0004,0.0009,0.0001,0.0001,0.0003,0.0002
exemplarisch,12,0.0001,0.0011,0.0016,0.0001,0.0001,0.0023,0.0013,0.0001,0.0008,0.0024,0.0001,0.0006,0.0004,0.0057,0.0004,0.0266,0.0001,0.0058,0.0003,0.0112
identität,12,0.0017,0.0011,0.0016,0.0002,0.0001,0.0024,0.0122,0.0001,0.0008,0.0023,0.0001,0.0006,0.0006,0.0002,0.0004,0.0009,0.0001,0.0012,0.0003,0.0058
ideologieideologiekritik,12,0.0001,0.0011,0.0016,0.0001,0.0046,0.0023,0.0001,0.0001,0.0008,0.0023,0.0001,0.0006,0.016,0.0002,0.0004,0.0009,0.0001,0.0001,0.0208,0.0002
implikation,12,0.0026,0.0011,0.0016,0.0002,0.0022,0.0023,0.0001,0.0001,0.0008,0.0023,0.0001,0.0006,0.0004,0.0141,0.0004,0.014,0.0001,0.0001,0.0086,0.0055
jahrhundert,12,0.0001,0.0011,0.0016,0.0001,0.0001,0.0023,0.0073,0.0023,0.0008,0.0023,0.0001,0.0006,0.0004,0.0002,0.0215,0.0009,0.0001,0.0001,0.0003,0.0002
metaphysisch,12,0.0001,0.0011,0.0016,0.0044,0.0001,0.0023,0.0001,0.0001,0.0008,0.0023,0.0001,0.0006,0.0004,0.0002,0.0004,0.0114,0.0221,0.0027,0.0003,0.0002
