term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
sachverhalte,27,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0
erweitert,27,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115
gemäß,25,0.0,0.0,0.0107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0
behandlung,25,0.0,0.0,0.0001,0.0,0.0074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
integration,25,0.0,0.0,0.0001,0.0,0.0,0.0136,0.0,0.0,0.0,0.0,0.0,0.0
konfliktbewältigung,25,0.0,0.0,0.0001,0.0,0.0,0.0,0.0107,0.0,0.0,0.0,0.0,0.0
differenzieren,25,0.0089,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lebensverhältnis,25,0.0,0.0,0.0001,0.0,0.0,0.0108,0.0,0.0,0.0,0.0,0.0,0.0
erhalten,25,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101
fächerverbindend,25,0.0,0.0,0.0001,0.0,0.0,0.0126,0.0,0.0,0.0,0.0,0.0,0.0
übergang,24,0.0,0.0109,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reproduktion,24,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0102,0.0,0.0
werteorientierung,24,0.0,0.0,0.0001,0.0,0.0091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
operator,23,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0096,0.0,0.0
revolution,22,0.0,0.0,0.0001,0.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rahmenplan,21,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0102
bewusst,21,0.0015,0.0,0.0099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
konsum,21,0.0,0.0,0.0001,0.0126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fachkonzept,20,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0147
bürger,19,0.0,0.0,0.0101,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
teilhabe,19,0.0,0.0073,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mitbestimmung,19,0.0,0.0081,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wohlstandsverteilung,19,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0088,0.0,0.0,0.0,0.0
zukünftig,19,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0099,0.0,0.0,0.0
übernehmen,16,0.0,0.0,0.0103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
übersicht,16,0.0,0.0,0.0091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
milieu,13,0.0,0.0,0.0001,0.0122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mitverantwortung,13,0.0,0.0,0.0084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
schicht,11,0.0,0.0,0.0001,0.0112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mobilität,11,0.0,0.0,0.0001,0.0112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jugendstrafrecht,10,0.0,0.0001,0.0103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
